orderquantity,country,region,modelname,productsize,productcolor,subcategoryname,categoryname,gender,educationlevel
1,United States,Northwest,Road-650,58,Black,Road Bikes,Bikes,M,Partial College
1,United States,Southwest,Road-150,48,Red,Road Bikes,Bikes,M,Partial College
1,Australia,Australia,Mountain-100,44,Black,Mountain Bikes,Bikes,M,High School
1,Canada,Canada,Road-650,44,Black,Road Bikes,Bikes,M,High School
1,United Kingdom,United Kingdom,Road-150,48,Red,Road Bikes,Bikes,M,High School
1,United States,Southwest,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,F,Partial College
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,M,Partial College
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,F,High School
1,United States,Southwest,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,United Kingdom,United Kingdom,Mountain-100,42,Silver,Mountain Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-150,52,Red,Road Bikes,Bikes,M,Partial College
1,United States,Southwest,Mountain-100,48,Black,Mountain Bikes,Bikes,F,Graduate Degree
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,F,Partial College
1,United Kingdom,United Kingdom,Mountain-100,44,Black,Mountain Bikes,Bikes,M,Graduate Degree
1,Canada,Canada,Road-150,62,Red,Road Bikes,Bikes,M,Partial High School
1,France,France,Road-150,48,Red,Road Bikes,Bikes,F,High School
1,United States,Southwest,Road-150,52,Red,Road Bikes,Bikes,F,Partial College
1,United States,Northwest,Road-150,62,Red,Road Bikes,Bikes,F,Graduate Degree
1,United Kingdom,United Kingdom,Mountain-100,38,Silver,Mountain Bikes,Bikes,M,High School
1,United States,Northwest,Road-150,48,Red,Road Bikes,Bikes,M,Graduate Degree
1,Canada,Canada,Road-150,52,Red,Road Bikes,Bikes,M,Bachelors
1,Germany,Germany,Road-650,44,Red,Road Bikes,Bikes,M,Bachelors
1,United States,Southwest,Road-150,62,Red,Road Bikes,Bikes,M,High School
1,United States,Southwest,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,Canada,Canada,Road-150,62,Red,Road Bikes,Bikes,F,Partial High School
1,Canada,Canada,Road-150,48,Red,Road Bikes,Bikes,M,Partial College
1,United States,Northwest,Road-150,62,Red,Road Bikes,Bikes,M,Graduate Degree
1,Canada,Canada,Mountain-100,38,Black,Mountain Bikes,Bikes,F,Graduate Degree
1,United States,Southwest,Road-150,48,Red,Road Bikes,Bikes,F,Graduate Degree
1,United Kingdom,United Kingdom,Road-150,44,Red,Road Bikes,Bikes,M,Partial High School
1,United Kingdom,United Kingdom,Road-650,62,Red,Road Bikes,Bikes,F,Partial College
1,Australia,Australia,Road-650,44,Red,Road Bikes,Bikes,F,Bachelors
1,Australia,Australia,Road-150,44,Red,Road Bikes,Bikes,M,Graduate Degree
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,Bachelors
1,United States,Northwest,Road-650,52,Black,Road Bikes,Bikes,F,Graduate Degree
1,United States,Northwest,Road-150,44,Red,Road Bikes,Bikes,M,Partial College
1,United States,Northwest,Road-150,62,Red,Road Bikes,Bikes,M,Partial College
1,United States,Southwest,Mountain-100,38,Black,Mountain Bikes,Bikes,F,Graduate Degree
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,Bachelors
1,United States,Southwest,Road-150,52,Red,Road Bikes,Bikes,F,Bachelors
1,Australia,Australia,Mountain-100,38,Silver,Mountain Bikes,Bikes,F,Graduate Degree
1,Australia,Australia,Road-150,52,Red,Road Bikes,Bikes,F,Bachelors
1,United States,Southwest,Road-150,56,Red,Road Bikes,Bikes,M,Partial College
1,Canada,Canada,Road-150,44,Red,Road Bikes,Bikes,F,High School
1,United States,Northwest,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,Australia,Australia,Mountain-100,44,Black,Mountain Bikes,Bikes,F,Graduate Degree
1,United States,Northwest,Road-150,52,Red,Road Bikes,Bikes,M,Partial College
1,Australia,Australia,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,France,France,Road-150,44,Red,Road Bikes,Bikes,F,Partial High School
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,F,Bachelors
1,United Kingdom,United Kingdom,Road-150,52,Red,Road Bikes,Bikes,M,Bachelors
1,Canada,Canada,Road-150,56,Red,Road Bikes,Bikes,M,Graduate Degree
1,Australia,Australia,Mountain-100,42,Black,Mountain Bikes,Bikes,F,Bachelors
1,United States,Southwest,Mountain-100,44,Black,Mountain Bikes,Bikes,M,Graduate Degree
1,Australia,Australia,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,United States,Northwest,Road-150,56,Red,Road Bikes,Bikes,M,Bachelors
1,United States,Northwest,Mountain-100,38,Silver,Mountain Bikes,Bikes,M,Bachelors
1,United States,Southwest,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,United States,Southwest,Road-150,48,Red,Road Bikes,Bikes,M,Bachelors
1,United States,Southwest,Road-150,62,Red,Road Bikes,Bikes,F,Graduate Degree
1,Canada,Canada,Road-150,44,Red,Road Bikes,Bikes,F,Bachelors
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-150,44,Red,Road Bikes,Bikes,F,High School
1,France,France,Road-150,48,Red,Road Bikes,Bikes,F,High School
1,France,France,Road-150,56,Red,Road Bikes,Bikes,M,Bachelors
1,United States,Northwest,Road-650,52,Black,Road Bikes,Bikes,M,Graduate Degree
1,United States,Southwest,Road-150,48,Red,Road Bikes,Bikes,M,Graduate Degree
1,United Kingdom,United Kingdom,Road-150,62,Red,Road Bikes,Bikes,F,Partial High School
1,United Kingdom,United Kingdom,Road-150,56,Red,Road Bikes,Bikes,F,High School
1,Australia,Australia,Road-150,52,Red,Road Bikes,Bikes,M,Bachelors
1,United States,Northwest,Road-150,56,Red,Road Bikes,Bikes,M,Partial College
1,United States,Northwest,Mountain-100,44,Silver,Mountain Bikes,Bikes,F,Bachelors
1,Australia,Australia,Mountain-100,38,Silver,Mountain Bikes,Bikes,F,Bachelors
1,Australia,Australia,Mountain-100,38,Silver,Mountain Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,M,Partial College
1,Australia,Australia,Road-150,62,Red,Road Bikes,Bikes,F,Bachelors
1,United States,Northwest,Road-150,62,Red,Road Bikes,Bikes,F,Graduate Degree
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,M,Bachelors
1,France,France,Mountain-100,38,Silver,Mountain Bikes,Bikes,F,Bachelors
1,Australia,Australia,Road-650,48,Red,Road Bikes,Bikes,M,Bachelors
1,United Kingdom,United Kingdom,Mountain-100,42,Black,Mountain Bikes,Bikes,M,Graduate Degree
1,United States,Southwest,Mountain-100,42,Black,Mountain Bikes,Bikes,F,Bachelors
1,United Kingdom,United Kingdom,Road-150,62,Red,Road Bikes,Bikes,F,Partial College
1,Australia,Australia,Mountain-100,42,Black,Mountain Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-150,44,Red,Road Bikes,Bikes,M,Graduate Degree
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,Partial College
1,Australia,Australia,Mountain-100,42,Silver,Mountain Bikes,Bikes,F,Bachelors
1,Australia,Australia,Mountain-100,48,Black,Mountain Bikes,Bikes,F,High School
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,F,Bachelors
1,Canada,Canada,Road-150,52,Red,Road Bikes,Bikes,M,High School
1,France,France,Road-650,60,Black,Road Bikes,Bikes,F,Partial College
1,United States,Northwest,Road-150,52,Red,Road Bikes,Bikes,F,High School
1,United States,Southwest,Road-150,52,Red,Road Bikes,Bikes,F,Partial High School
1,Australia,Australia,Mountain-100,48,Black,Mountain Bikes,Bikes,F,Bachelors
1,Australia,Australia,Mountain-100,48,Silver,Mountain Bikes,Bikes,M,Partial High School
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,High School
1,United States,Southwest,Road-150,56,Red,Road Bikes,Bikes,M,Graduate Degree
1,United States,Southwest,Road-150,52,Red,Road Bikes,Bikes,M,Partial College
1,United Kingdom,United Kingdom,Road-150,44,Red,Road Bikes,Bikes,F,Graduate Degree
1,Australia,Australia,Road-650,58,Red,Road Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-650,60,Black,Road Bikes,Bikes,M,Bachelors
1,United Kingdom,United Kingdom,Road-150,62,Red,Road Bikes,Bikes,M,Bachelors
1,United Kingdom,United Kingdom,Road-150,62,Red,Road Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-150,48,Red,Road Bikes,Bikes,F,Bachelors
1,United Kingdom,United Kingdom,Road-150,52,Red,Road Bikes,Bikes,M,Partial College
1,United States,Northwest,Road-650,48,Red,Road Bikes,Bikes,F,Bachelors
1,United Kingdom,United Kingdom,Road-150,62,Red,Road Bikes,Bikes,F,Graduate Degree
1,United Kingdom,United Kingdom,Road-150,44,Red,Road Bikes,Bikes,F,Partial College
1,Australia,Australia,Road-150,52,Red,Road Bikes,Bikes,F,High School
1,United States,Northwest,Road-150,62,Red,Road Bikes,Bikes,F,Partial College
1,Australia,Australia,Road-150,44,Red,Road Bikes,Bikes,F,Partial College
1,Australia,Australia,Road-150,52,Red,Road Bikes,Bikes,M,High School
1,Canada,Canada,Road-150,62,Red,Road Bikes,Bikes,F,Partial College
1,United States,Southwest,Road-150,52,Red,Road Bikes,Bikes,F,Bachelors
1,United Kingdom,United Kingdom,Road-150,56,Red,Road Bikes,Bikes,F,Partial High School
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,High School
1,United States,Southwest,Road-150,48,Red,Road Bikes,Bikes,M,Graduate Degree
1,Germany,Germany,Mountain-100,44,Silver,Mountain Bikes,Bikes,F,Partial College
1,United States,Southwest,Road-150,44,Red,Road Bikes,Bikes,F,High School
1,Australia,Australia,Mountain-100,42,Silver,Mountain Bikes,Bikes,M,Bachelors
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,F,High School
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,Bachelors
1,United Kingdom,United Kingdom,Road-150,52,Red,Road Bikes,Bikes,F,Partial High School
1,Australia,Australia,Mountain-100,42,Black,Mountain Bikes,Bikes,M,Bachelors
1,United States,Southwest,Road-150,48,Red,Road Bikes,Bikes,F,Graduate Degree
1,Australia,Australia,Road-150,44,Red,Road Bikes,Bikes,F,Bachelors
1,Australia,Australia,Road-150,56,Red,Road Bikes,Bikes,M,Partial College
1,Canada,Canada,Mountain-100,38,Silver,Mountain Bikes,Bikes,M,High School
1,United States,Southwest,Road-150,56,Red,Road Bikes,Bikes,F,Partial College
1,United States,Southwest,Road-150,44,Red,Road Bikes,Bikes,F,Partial College
1,France,France,Road-150,52,Red,Road Bikes,Bikes,F,Bachelors
1,France,France,Mountain-100,38,Silver,Mountain Bikes,Bikes,F,Bachelors
1,United States,Northwest,Road-150,48,Red,Road Bikes,Bikes,F,High School
1,France,France,Road-150,62,Red,Road Bikes,Bikes,M,High School
1,United States,Southwest,Road-150,52,Red,Road Bikes,Bikes,M,Graduate Degree
1,United States,Northwest,Road-150,56,Red,Road Bikes,Bikes,M,Partial College
1,Canada,Canada,Road-150,52,Red,Road Bikes,Bikes,F,Graduate Degree
